user,username,item,item_name,rating,year
DOID_0050012,chikungunya,CHEBI_134730,umifenovir,1,2023-05-14
DOID_0050012,chikungunya,CHEBI_22728,benzopyrrole,1,2023-05-14
DOID_0050012,chikungunya,CHEBI_24828,indoles,1,2023-05-14
DOID_0050012,chikungunya,CHEBI_27171,organic heterobicyclic compound,1,2023-05-14
DOID_0050012,chikungunya,CHEBI_33833,heteroarene,1,2023-05-14
DOID_0050012,chikungunya,CHEBI_38180,polycyclic heteroarene,1,2023-05-14
DOID_0050012,chikungunya,CHEBI_46867,indolyl carboxylic acid,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_139588,alpha-hydroxy ketone,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_139592,tertiary alpha-hydroxy ketone,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_17087,ketone,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_26188,polyketide,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_26878,tertiary alcohol,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_26895,tetracyclines,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_27902,tetracycline,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_30879,alcohol,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_50845,doxycycline,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_52395,oxyketone,1,2023-05-14
DOID_0050052,rocky mountain spotted fever,CHEBI_52396,alpha-oxyketone,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_17792,organohalogen compound,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_18379,nitrile,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_22712,benzenes,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_23424,cyanides,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_23449,cyclic peptide,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_24062,fluorine molecular entity,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_24471,halogen molecular entity,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_24613,homodetic cyclic peptide,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_25697,organic cation,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_25698,ether,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_26144,piperazines,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_26878,tertiary alcohol,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_26912,oxolanes,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_30879,alcohol,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_33261,organosulfur compound,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_33833,heteroarene,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_33860,aromatic amine,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_35496,fluorobenzenes,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_35618,aromatic ether,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_35727,triazoles,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_36916,cation,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_37143,organofluorine compound,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_37578,halide,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_38106,organosulfur heterocyclic compound,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_38179,monocyclic heteroarene,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_38418,"1,3-thiazoles",1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_38582,difluorobenzene,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_46848,N-arylpiperazine,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_46895,lipopeptide,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_474180,caspofungin,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_48901,thiazoles,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_50996,tertiary amino compound,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_57248,echinocandin,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_600520,micafungin,1,2023-05-14
DOID_0050073,invasive aspergillosis,CHEBI_64355,posaconazole,1,2023-05-14
