user,username,item,item_name,rating,year
DOID_848,arthritis,CHEBI_5516,sodium aurothiomalate,1,2023-05-14
DOID_2723,dermatitis,CHEBI_5516,sodium aurothiomalate,-1,2023-05-14
DOID_9637,stomatitis,CHEBI_5516,sodium aurothiomalate,-1,2023-05-14
DOID_12987,agranulocytosis,CHEBI_5516,sodium aurothiomalate,-1,2023-05-14
DOID_3326,purpura,CHEBI_5516,sodium aurothiomalate,-1,2023-05-14
DOID_2355,anemia,CHEBI_5516,sodium aurothiomalate,-1,2023-05-14
DOID_12449,aplastic anemia,CHEBI_5516,sodium aurothiomalate,-1,2023-05-14
DOID_1588,thrombocytopenia,CHEBI_59173,bivalirudin,1,2023-05-14
DOID_0060903,thrombosis,CHEBI_59173,bivalirudin,1,2023-05-14
DOID_8805,unstable angina,CHEBI_59173,bivalirudin,1,2023-05-14
DOID_6132,bronchitis,CHEBI_3510,ceftibuten,1,2023-05-14
DOID_2275,pharyngitis,CHEBI_3510,ceftibuten,1,2023-05-14
DOID_10754,otitis media,CHEBI_3510,ceftibuten,1,2023-05-14
DOID_11678,onchocerciasis,CHEBI_45906,suramin,1,2023-05-14
DOID_10112,sleeping sickness,CHEBI_45906,suramin,1,2023-05-14
DOID_9471,meningitis,CHEBI_8378,prednisolone,1,2023-05-14
DOID_8534,gerd,CHEBI_135642,cinitapride,1,2023-05-14
DOID_9538,myeloma,CHEBI_65347,carfilzomib,1,2023-05-14
DOID_2355,anemia,CHEBI_65347,carfilzomib,-1,2023-05-14
DOID_1588,thrombocytopenia,CHEBI_65347,carfilzomib,-1,2023-05-14
DOID_13250,diarrhea,CHEBI_65347,carfilzomib,-1,2023-05-14
DOID_1227,neutropenia,CHEBI_65347,carfilzomib,-1,2023-05-14
DOID_8398,osteoarthritis,CHEBI_44445,nimesulide,1,2023-05-14
DOID_1555,urticaria,CHEBI_31821,mequitazine,1,2023-05-14
DOID_4483,rhinitis,CHEBI_31821,mequitazine,1,2023-05-14
DOID_4481,hay fever,CHEBI_31821,mequitazine,1,2023-05-14
DOID_9970,obesity,CHEBI_177607,taranabant,1,2023-05-14
DOID_848,arthritis,CHEBI_37527,acid,1,2023-05-14
DOID_8398,osteoarthritis,CHEBI_37527,acid,1,2023-05-14
DOID_7148,rheumatoid arthritis,CHEBI_37527,acid,1,2023-05-14
DOID_848,arthritis,CHEBI_6717,mefenamic acid,1,2023-05-14
DOID_8398,osteoarthritis,CHEBI_6717,mefenamic acid,1,2023-05-14
DOID_7148,rheumatoid arthritis,CHEBI_6717,mefenamic acid,1,2023-05-14
DOID_10763,hypertension,CHEBI_68850,azilsartan,1,2023-05-14
DOID_13250,diarrhea,CHEBI_68850,azilsartan,-1,2023-05-14
DOID_10763,hypertension,CHEBI_68845,azilsartan medoxomil,1,2023-05-14
DOID_13250,diarrhea,CHEBI_68845,azilsartan medoxomil,-1,2023-05-14
DOID_552,pneumonia,CHEBI_45081,pentamidine,1,2023-05-14
DOID_13250,diarrhea,CHEBI_45081,pentamidine,-1,2023-05-14
DOID_1596,depression,CHEBI_27897,tryptophan,1,2023-05-14
DOID_13250,diarrhea,CHEBI_27897,tryptophan,-1,2023-05-14
DOID_2170,vaginitis,CHEBI_41872,dequalinium,1,2023-05-14
DOID_1508,candidiasis,CHEBI_41872,dequalinium,1,2023-05-14
DOID_1947,trichomoniasis,CHEBI_41872,dequalinium,1,2023-05-14
DOID_3385,bacterial vaginosis,CHEBI_41872,dequalinium,1,2023-05-14
DOID_3767,vaginal discharge,CHEBI_41872,dequalinium,-1,2023-05-14
DOID_13543,hyperparathyroidism,CHEBI_48390,cinacalcet,1,2023-05-14
DOID_12678,hypercalcemia,CHEBI_48390,cinacalcet,1,2023-05-14
DOID_305,carcinoma,CHEBI_48390,cinacalcet,1,2023-05-14
DOID_12466,secondary hyperparathyroidism,CHEBI_48390,cinacalcet,1,2023-05-14
DOID_1540,parathyroid carcinoma,CHEBI_48390,cinacalcet,1,2023-05-14
DOID_3083,cold,CHEBI_4724,dyclonine,1,2023-05-14
DOID_1596,depression,CHEBI_4724,dyclonine,-1,2023-05-14
DOID_10783,methemoglobinemia,CHEBI_4724,dyclonine,-1,2023-05-14
DOID_6713,stroke,CHEBI_85973,edoxaban,1,2023-05-14
DOID_0060903,thrombosis,CHEBI_85973,edoxaban,1,2023-05-14
DOID_0060224,atrial fibrillation,CHEBI_85973,edoxaban,1,2023-05-14
DOID_9477,pulmonary embolism,CHEBI_85973,edoxaban,1,2023-05-14
DOID_216,dental caries,CHEBI_17051,fluoride,1,2023-05-14
DOID_0060319,cardiac arrest,CHEBI_17051,fluoride,-1,2023-05-14
DOID_216,dental caries,CHEBI_28741,sodium fluoride,1,2023-05-14
DOID_0060319,cardiac arrest,CHEBI_28741,sodium fluoride,-1,2023-05-14
DOID_9538,myeloma,CHEBI_41879,dexamethasone,1,2023-05-14
DOID_13141,uveitis,CHEBI_41879,dexamethasone,1,2023-05-14
DOID_10754,otitis media,CHEBI_41879,dexamethasone,1,2023-05-14
DOID_9463,otitis externa,CHEBI_41879,dexamethasone,1,2023-05-14
DOID_4449,macular edema,CHEBI_41879,dexamethasone,1,2023-05-14
DOID_12574,posterior uveitis,CHEBI_41879,dexamethasone,1,2023-05-14
DOID_83,cataract,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_1686,glaucoma,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_10763,hypertension,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_4989,pancreatitis,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_423,myopathy,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_11476,osteoporosis,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_6543,acne,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_420,hypertrichosis,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_0111084,face,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_4195,hyperglycemia,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_0050336,hypophosphatemia,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_0050758,metabolic acidosis,CHEBI_41879,dexamethasone,-1,2023-05-14
DOID_2841,asthma,CHEBI_10112,zileuton,1,2023-05-14
DOID_0080809,chronic asthma,CHEBI_10112,zileuton,1,2023-05-14
DOID_9538,myeloma,CHEBI_90942,ixazomib,1,2023-05-14
DOID_2237,hepatitis,CHEBI_90942,ixazomib,-1,2023-05-14
DOID_1826,epilepsy,CHEBI_31413,clobazam,1,2023-05-14
DOID_848,arthritis,CHEBI_2930,aurothioglucose,1,2023-05-14
DOID_7148,rheumatoid arthritis,CHEBI_2930,aurothioglucose,1,2023-05-14
DOID_576,proteinuria,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_1588,thrombocytopenia,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_12987,granulocytopenia,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_13250,diarrhea,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_1555,urticaria,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_2723,dermatitis,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_13603,cholestatic jaundice,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_1074,renal failure,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_12556,acute tubular necrosis,CHEBI_2930,aurothioglucose,-1,2023-05-14
DOID_1924,hypogonadism,CHEBI_17347,testosterone,1,2023-05-14
DOID_11383,cryptorchidism,CHEBI_17347,testosterone,1,2023-05-14
DOID_2518,orchitis,CHEBI_17347,testosterone,1,2023-05-14
DOID_0090070,hypogonadotropic hypogonadism,CHEBI_17347,testosterone,1,2023-05-14
DOID_684,hepatoma,CHEBI_17347,testosterone,-1,2023-05-14
DOID_305,carcinoma,CHEBI_17347,testosterone,-1,2023-05-14
DOID_1924,hypogonadism,CHEBI_9463,testosterone cypionate,1,2023-05-14
DOID_11383,cryptorchidism,CHEBI_9463,testosterone cypionate,1,2023-05-14
DOID_2518,orchitis,CHEBI_9463,testosterone cypionate,1,2023-05-14
DOID_0090070,hypogonadotropic hypogonadism,CHEBI_9463,testosterone cypionate,1,2023-05-14
