user,username,item,item_name,rating,year
DOID_526,hiv infection,CHEBI_37924,atazanavir,1,2021-05-26
DOID_1205,hypersensitivity,CHEBI_37924,atazanavir,-1,2021-05-26
DOID_10763,hypertension,CHEBI_37924,atazanavir,-1,2021-05-26
DOID_1875,erectile dysfunction,CHEBI_37924,atazanavir,-1,2021-05-26
DOID_526,hiv infection,CHEBI_16189,sulfate,1,2021-05-26
DOID_1205,hypersensitivity,CHEBI_16189,sulfate,-1,2021-05-26
DOID_10763,hypertension,CHEBI_16189,sulfate,-1,2021-05-26
DOID_1875,erectile dysfunction,CHEBI_16189,sulfate,-1,2021-05-26
DOID_526,hiv infection,CHEBI_31243,atazanavir sulfate,1,2021-05-26
DOID_1205,hypersensitivity,CHEBI_31243,atazanavir sulfate,-1,2021-05-26
DOID_10763,hypertension,CHEBI_31243,atazanavir sulfate,-1,2021-05-26
DOID_1875,erectile dysfunction,CHEBI_31243,atazanavir sulfate,-1,2021-05-26
DOID_526,hiv infection,CHEBI_367163,darunavir,1,2021-07-15
DOID_1205,hypersensitivity,CHEBI_367163,darunavir,-1,2021-07-15
DOID_2237,hepatitis,CHEBI_85083,sofosbuvir,1,2021-05-11
DOID_1883,hepatitis c,CHEBI_85083,sofosbuvir,1,2021-05-11
DOID_1205,hypersensitivity,CHEBI_85083,sofosbuvir,-1,2021-05-11
DOID_526,hiv infection,CHEBI_37924,atazanavir,1,2021-07-06
DOID_1205,hypersensitivity,CHEBI_37924,atazanavir,-1,2021-07-06
DOID_10763,hypertension,CHEBI_37924,atazanavir,-1,2021-07-06
DOID_1875,erectile dysfunction,CHEBI_37924,atazanavir,-1,2021-07-06
DOID_526,hiv infection,CHEBI_16189,sulfate,1,2021-07-06
DOID_1205,hypersensitivity,CHEBI_16189,sulfate,-1,2021-07-06
DOID_10763,hypertension,CHEBI_16189,sulfate,-1,2021-07-06
DOID_1875,erectile dysfunction,CHEBI_16189,sulfate,-1,2021-07-06
DOID_526,hiv infection,CHEBI_31243,atazanavir sulfate,1,2021-07-06
DOID_1205,hypersensitivity,CHEBI_31243,atazanavir sulfate,-1,2021-07-06
DOID_10763,hypertension,CHEBI_31243,atazanavir sulfate,-1,2021-07-06
DOID_1875,erectile dysfunction,CHEBI_31243,atazanavir sulfate,-1,2021-07-06
DOID_2841,asthma,CHEBI_50730,montelukast,1,2023-05-13
DOID_1205,hypersensitivity,CHEBI_50730,montelukast,-1,2023-05-13
DOID_2841,asthma,CHEBI_6993,montelukast sodium,1,2023-05-13
DOID_1205,hypersensitivity,CHEBI_6993,montelukast sodium,-1,2023-05-13
DOID_2237,hepatitis,CHEBI_63577,lamivudine,1,2022-07-12
DOID_2043,chronic hepatitis b,CHEBI_63577,lamivudine,1,2022-07-12
DOID_1205,hypersensitivity,CHEBI_63577,lamivudine,-1,2022-07-12
DOID_526,hiv infection,CHEBI_63577,lamivudine,1,2021-08-09
DOID_1205,hypersensitivity,CHEBI_63577,lamivudine,-1,2021-08-09
DOID_526,hiv infection,CHEBI_63613,nevirapine,1,2021-11-17
DOID_1205,hypersensitivity,CHEBI_63613,nevirapine,-1,2021-11-17
DOID_2237,hepatitis,CHEBI_63613,nevirapine,-1,2021-11-17
DOID_526,hiv infection,CHEBI_367163,darunavir,1,2022-09-30
DOID_1205,hypersensitivity,CHEBI_367163,darunavir,-1,2022-09-30
DOID_10763,hypertension,CHEBI_367163,darunavir,-1,2022-09-30
DOID_2237,hepatitis,CHEBI_85083,sofosbuvir,1,2021-05-11
DOID_1883,hepatitis c,CHEBI_85083,sofosbuvir,1,2021-05-11
DOID_1205,hypersensitivity,CHEBI_85083,sofosbuvir,-1,2021-05-11
DOID_526,hiv infection,CHEBI_63577,lamivudine,1,2021-08-09
DOID_1205,hypersensitivity,CHEBI_63577,lamivudine,-1,2021-08-09
DOID_526,hiv infection,CHEBI_63577,lamivudine,1,2021-08-09
DOID_1205,hypersensitivity,CHEBI_63577,lamivudine,-1,2021-08-09
DOID_526,hiv infection,CHEBI_421707,abacavir,1,2021-01-14
DOID_1205,hypersensitivity,CHEBI_421707,abacavir,-1,2021-01-14
DOID_526,hiv infection,CHEBI_16189,sulfate,1,2021-01-14
DOID_1205,hypersensitivity,CHEBI_16189,sulfate,-1,2021-01-14
DOID_526,hiv infection,CHEBI_2361,abacavir sulfate,1,2021-01-14
DOID_1205,hypersensitivity,CHEBI_2361,abacavir sulfate,-1,2021-01-14
DOID_2237,hepatitis,CHEBI_52999,interferon,1,2022-01-14
DOID_2043,hepatitis b,CHEBI_52999,interferon,1,2022-01-14
DOID_1883,hepatitis c,CHEBI_52999,interferon,1,2022-01-14
DOID_2237,hepatitis,CHEBI_13643,glycol,1,2022-01-14
DOID_2043,hepatitis b,CHEBI_13643,glycol,1,2022-01-14
DOID_1883,hepatitis c,CHEBI_13643,glycol,1,2022-01-14
DOID_2841,asthma,CHEBI_9011,salmeterol,1,2022-07-03
DOID_3083,copd,CHEBI_9011,salmeterol,1,2022-07-03
DOID_0080826,nocturnal asthma,CHEBI_9011,salmeterol,1,2022-07-03
DOID_1205,hypersensitivity,CHEBI_9011,salmeterol,-1,2022-07-03
DOID_2841,asthma,CHEBI_9012,salmeterol xinafoate,1,2022-07-03
DOID_3083,copd,CHEBI_9012,salmeterol xinafoate,1,2022-07-03
DOID_0080826,nocturnal asthma,CHEBI_9012,salmeterol xinafoate,1,2022-07-03
DOID_1205,hypersensitivity,CHEBI_9012,salmeterol xinafoate,-1,2022-07-03
DOID_526,hiv infection,CHEBI_421707,abacavir,1,2020-08-20
DOID_1205,hypersensitivity,CHEBI_421707,abacavir,-1,2020-08-20
DOID_526,hiv infection,CHEBI_367163,darunavir,1,2022-09-30
DOID_1205,hypersensitivity,CHEBI_367163,darunavir,-1,2022-09-30
DOID_10763,hypertension,CHEBI_367163,darunavir,-1,2022-09-30
DOID_526,hiv infection,CHEBI_367163,darunavir,1,2023-10-01
DOID_1205,hypersensitivity,CHEBI_367163,darunavir,-1,2023-10-01
DOID_10763,hypertension,CHEBI_367163,darunavir,-1,2023-10-01
DOID_2237,hepatitis,CHEBI_85083,sofosbuvir,1,2021-05-11
DOID_1883,hepatitis c,CHEBI_85083,sofosbuvir,1,2021-05-11
DOID_1205,hypersensitivity,CHEBI_85083,sofosbuvir,-1,2021-05-11
DOID_2841,asthma,CHEBI_50730,montelukast,1,2019-11-15
DOID_4483,rhinitis,CHEBI_50730,montelukast,1,2019-11-15
DOID_4481,allergic rhinitis,CHEBI_50730,montelukast,1,2019-11-15
DOID_1205,hypersensitivity,CHEBI_50730,montelukast,-1,2019-11-15
DOID_2841,asthma,CHEBI_6993,montelukast sodium,1,2019-11-15
DOID_4483,rhinitis,CHEBI_6993,montelukast sodium,1,2019-11-15
DOID_4481,allergic rhinitis,CHEBI_6993,montelukast sodium,1,2019-11-15
DOID_1205,hypersensitivity,CHEBI_6993,montelukast sodium,-1,2019-11-15
DOID_2841,asthma,CHEBI_50730,montelukast,1,2019-11-15
DOID_1205,hypersensitivity,CHEBI_50730,montelukast,-1,2019-11-15
DOID_2841,asthma,CHEBI_6993,montelukast sodium,1,2019-11-15
DOID_1205,hypersensitivity,CHEBI_6993,montelukast sodium,-1,2019-11-15
DOID_526,hiv infection,CHEBI_63577,lamivudine,1,2021-11-18
DOID_1205,hypersensitivity,CHEBI_63577,lamivudine,-1,2021-11-18
DOID_2237,hepatitis,CHEBI_63580,ribavirin,1,2022-07-21
DOID_1883,chronic hepatitis c,CHEBI_63580,ribavirin,1,2022-07-21
DOID_1205,hypersensitivity,CHEBI_63580,ribavirin,-1,2022-07-21
DOID_2355,anaemia,CHEBI_63580,ribavirin,-1,2022-07-21
DOID_10923,sickle cell anaemia,CHEBI_63580,ribavirin,-1,2022-07-21
DOID_526,hiv infection,CHEBI_63613,nevirapine,1,2022-03-11
DOID_1205,hypersensitivity,CHEBI_63613,nevirapine,-1,2022-03-11
DOID_2237,hepatitis,CHEBI_63613,nevirapine,-1,2022-03-11
DOID_526,hiv infection,CHEBI_63577,lamivudine,1,2021-11-18
DOID_1205,hypersensitivity,CHEBI_63577,lamivudine,-1,2021-11-18
DOID_4483,rhinitis,CHEBI_51209,pseudoephedrine,1,2021-09-08
DOID_3083,cold,CHEBI_51209,pseudoephedrine,1,2021-09-08
DOID_8469,influenza,CHEBI_51209,pseudoephedrine,1,2021-09-08
DOID_4481,allergic rhinitis,CHEBI_51209,pseudoephedrine,1,2021-09-08
DOID_4730,vasomotor rhinitis,CHEBI_51209,pseudoephedrine,1,2021-09-08
DOID_10459,common cold,CHEBI_51209,pseudoephedrine,1,2021-09-08
DOID_1205,hypersensitivity,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_10763,hypertension,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_9351,diabetes,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_0050771,phaeochromocytoma,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_7998,hyperthyroidism,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_1686,glaucoma,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_13550,closed angle glaucoma,CHEBI_51209,pseudoephedrine,-1,2021-09-08
DOID_4483,rhinitis,CHEBI_36807,hydrochloride,1,2021-09-08
DOID_3083,cold,CHEBI_36807,hydrochloride,1,2021-09-08
DOID_8469,influenza,CHEBI_36807,hydrochloride,1,2021-09-08
DOID_4481,allergic rhinitis,CHEBI_36807,hydrochloride,1,2021-09-08
DOID_4730,vasomotor rhinitis,CHEBI_36807,hydrochloride,1,2021-09-08
DOID_10459,common cold,CHEBI_36807,hydrochloride,1,2021-09-08
DOID_1205,hypersensitivity,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_10763,hypertension,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_9351,diabetes,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_0050771,phaeochromocytoma,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_7998,hyperthyroidism,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_1686,glaucoma,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_13550,closed angle glaucoma,CHEBI_36807,hydrochloride,-1,2021-09-08
DOID_4483,rhinitis,CHEBI_8604,pseudoephedrine hydrochloride,1,2021-09-08
DOID_3083,cold,CHEBI_8604,pseudoephedrine hydrochloride,1,2021-09-08
DOID_8469,influenza,CHEBI_8604,pseudoephedrine hydrochloride,1,2021-09-08
DOID_4481,allergic rhinitis,CHEBI_8604,pseudoephedrine hydrochloride,1,2021-09-08
DOID_4730,vasomotor rhinitis,CHEBI_8604,pseudoephedrine hydrochloride,1,2021-09-08
DOID_10459,common cold,CHEBI_8604,pseudoephedrine hydrochloride,1,2021-09-08
DOID_1205,hypersensitivity,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_10763,hypertension,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_9351,diabetes,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_0050771,phaeochromocytoma,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_7998,hyperthyroidism,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_1686,glaucoma,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_13550,closed angle glaucoma,CHEBI_8604,pseudoephedrine hydrochloride,-1,2021-09-08
DOID_526,hiv infection,CHEBI_367163,darunavir,1,2022-09-30
DOID_1205,hypersensitivity,CHEBI_367163,darunavir,-1,2022-09-30
DOID_10763,hypertension,CHEBI_367163,darunavir,-1,2022-09-30
DOID_526,hiv infection,CHEBI_37924,atazanavir,1,2021-07-06
DOID_1205,hypersensitivity,CHEBI_37924,atazanavir,-1,2021-07-06
DOID_10763,hypertension,CHEBI_37924,atazanavir,-1,2021-07-06
DOID_1875,erectile dysfunction,CHEBI_37924,atazanavir,-1,2021-07-06
DOID_526,hiv infection,CHEBI_16189,sulfate,1,2021-07-06
DOID_1205,hypersensitivity,CHEBI_16189,sulfate,-1,2021-07-06
DOID_10763,hypertension,CHEBI_16189,sulfate,-1,2021-07-06
DOID_1875,erectile dysfunction,CHEBI_16189,sulfate,-1,2021-07-06
DOID_526,hiv infection,CHEBI_31243,atazanavir sulfate,1,2021-07-06
DOID_1205,hypersensitivity,CHEBI_31243,atazanavir sulfate,-1,2021-07-06
DOID_10763,hypertension,CHEBI_31243,atazanavir sulfate,-1,2021-07-06
DOID_1875,erectile dysfunction,CHEBI_31243,atazanavir sulfate,-1,2021-07-06
DOID_2841,asthma,CHEBI_50730,montelukast,1,2019-11-15
DOID_1205,hypersensitivity,CHEBI_50730,montelukast,-1,2019-11-15
DOID_2841,asthma,CHEBI_6993,montelukast sodium,1,2019-11-15
DOID_1205,hypersensitivity,CHEBI_6993,montelukast sodium,-1,2019-11-15
DOID_526,hiv infection,CHEBI_119486,efavirenz,1,2022-11-11
DOID_1205,hypersensitivity,CHEBI_119486,efavirenz,-1,2022-11-11
DOID_4500,hypokalemia,CHEBI_119486,efavirenz,-1,2022-11-11
DOID_2237,hepatitis,CHEBI_52999,interferon,1,2022-01-14
DOID_2043,hepatitis b,CHEBI_52999,interferon,1,2022-01-14
DOID_1883,hepatitis c,CHEBI_52999,interferon,1,2022-01-14
DOID_2237,hepatitis,CHEBI_13643,glycol,1,2022-01-14
DOID_2043,hepatitis b,CHEBI_13643,glycol,1,2022-01-14
DOID_1883,hepatitis c,CHEBI_13643,glycol,1,2022-01-14
DOID_2841,asthma,CHEBI_5147,formoterol,1,2022-02-02
DOID_3083,copd,CHEBI_5147,formoterol,1,2022-02-02
DOID_1205,hypersensitivity,CHEBI_5147,formoterol,-1,2022-02-02
DOID_2841,asthma,CHEBI_31633,formoterol fumarate,1,2022-02-02
DOID_3083,copd,CHEBI_31633,formoterol fumarate,1,2022-02-02
DOID_1205,hypersensitivity,CHEBI_31633,formoterol fumarate,-1,2022-02-02
